Symbol	Name	Sector	Industry	PE	EPS	DivYield	Shares	DPS	PEG	PtS	PtB
EVM	Eaton Vance California Muni Bond Fund	Finance	Closed-End Fund - Debt	0	-0.07	5.01	0	0.58	0	0	0
EVO	Eaton Vance Ohio Muni Income Trust	Finance	Closed-End Fund - Debt	0	0.34	4.38	0	0.61	0	0	0
EVP	Eaton Vance Pennsylvania Muni Income Trust	Finance	Closed-End Fund - Debt	0	0.43	4.16	0	0.51	0	0	0
EVV	Eaton Vance Limited Duration	Finance	Closed-End Fund - Debt	0	1.72	7.01	0	0.97	0	0	0
EVX	Environmental Svcs ETF Vaneck			0	0	0	0	0	0	0	0
EVY	Eaton Vance New York Muni Income Trust	Finance	Closed-End Fund - Debt	0	0.24	4.59	0	0.6	0	0	0
EWA	Australia Index MSCI Ishares	Finance	Closed-End Fund - Equity	0	2.16	0	0	0	0	0	0
EWC	Canada Index MSCI Ishares	Finance	Closed-End Fund - Equity	0	1.84	0	0	0	0	0	0
EWD	Sweden Index MSCI Ishares	Finance	Closed-End Fund - Equity	0	4.16	0	0	0	0	0	0
EWEM	Emrg Mkts Eq WT MSCI Guggenheim			0	0	0	0	0	0	0	0
EWG	Germany Index MSCI Ishares	Finance	Closed-End Fund - Equity	0	5.42	0	0	0	0	0	0
EWGS	Germany Smallcap MSCI Ishares			0	0	0	0	0	0	0	0
EWH	Hong Kong Index MSCI Ishares	Finance	Closed-End Fund - Equity	0	4.36	0	0	0	0	0	0
EWI	Italy Index MSCI Ishares	Finance	Closed-End Fund - Equity	0	-12.14	0	0	0	0	0	0
EWJ	Japan Index MSCI Ishares	Finance	Closed-End Fund - Equity	0	8.98	0	0	0	0	0	0
EWK	Belgium Index MSCI Ishares	Finance	Closed-End Fund - Equity	0	0.47	0	0	0	0	0	0
EWL	Switzerland Index MSCI Ishares	Finance	Closed-End Fund - Equity	0	-0.9	0	0	0	0	0	0
EWM	Malaysia Index MSCI Ishares	Finance	Closed-End Fund - Equity	0	1.82	0	0	0	0	0	0
EWMC	Guggenheim S&P Midcap 400 EW ETF			0	0	0	0	0	0	0	0
EWN	Netherlands Invstbl Mkt Idx Ishares ETF	Finance	Closed-End Fund - Equity	0	0.93	0	0	0	0	0	0
EWO	Austria Index MSCI Ishares	Finance	Closed-End Fund - Equity	0	-1.96	0	0	0	0	0	0
EWP	Spain Index MSCI Ishares	Finance	Closed-End Fund - Equity	0	-9.74	0	0	0	0	0	0
EWQ	France Index MSCI Ishares	Finance	Closed-End Fund - Equity	0	-0.46	0	0	0	0	0	0
EWRE	Guggenheim S&P 500 EW ETF			0	0	0	0	0	0	0	0
EWS	Singapore Index MSCI Ishares	Finance	Closed-End Fund - Equity	0	3.51	0	0	0	0	0	0
EWSC	Guggenheim S&P Smallcap 600 EW ETF			0	0	0	0	0	0	0	0
EWT	Taiwan Index MSCI Ishares	Finance	Closed-End Fund - Equity	0	2.99	0	0	0	0	0	0
EWU	UK Index MSCI Ishares	Finance	Closed-End Fund - Equity	0	-2.39	0	0	0	0	0	0
EWUS	UK Smallcap MSCI Ishares			0	0	0	0	0	0	0	0
EWV	Ultrashort MSCI Japan Proshares			0	0	0	0	0	0	0	0
EWW	Mexico Index MSCI Ishares	Finance	Closed-End Fund - Equity	0	-2.65	0	0	0	0	0	0
EWX	S&P Emrg Mkts Smallcap SPDR			0	0	0	0	0	0	0	0
EWY	South Korea Index MSCI Ishares	Finance	Closed-End Fund - Equity	0	14.46	0	0	0	0	0	0
EWZ	Brazil Index MSCI Ishares	Finance	Closed-End Fund - Equity	0	8.9	0	0	0	0	0	0
EXI	S&P Global Industrials Ishares			0	0	0	0	0	0	0	0
EXIV	Velocityshares 1X Daily Inverse Vstoxx Futures E			0	0	0	0	0	0	0	0
EXT	Total Earnings Wisdomtree			0	0	0	0	0	0	0	0
EYLD	Cambria Emerging Shareholder Yield ETF			0	0	0	0	0	0	0	0
EZA	South Africa Index MSCI Ishares	Finance	Closed-End Fund - Equity	0	-4.74	0	0	0	0	0	0
EZJ	Ultra MSCI Japan Proshares			0	0	0	0	0	0	0	0
EZM	Midcap Earnings Wisdomtree			0	0	0	0	0	0	0	0
EZU	Eurozone ETF MSCI Ishares	Finance	Closed-End Fund - Equity	0	-2.63	0	0	0	0	0	0
FAN	Global Wind Energy First Trust			0	0	0	0	0	0	0	0
FANZ	Prosports Sponsors ETF			0	0	0	0	0	0	0	0
FAS	Financial Bull 3X Direxion			0	0	0	0	0	0	0	0
FAUS	Australia Alphadex First Trust			0	0	0	0	0	0	0	0
FAX	Aberdeen Asia-Pacific	Finance	Closed-End Fund - Foreign	0	0.53	8.35	0	0.42	0	0	0
FAZ	Financial Bear 3X Direxion			0	0	0	0	0	0	0	0
FBGX	FI Enhanced Large Cap Growth ETN			0	0	0	0	0	0	0	0
FBND	Fidelity Total Bond ETF			0	0	0	0	0	0	0	0
FBT	Biotechnology Index NYSE ETF			0	-93.86	0	0	0	0	0	0
FCG	Natural Gas ETF FT			0	0	0	0	0	0	0	0
FCO	Aberdeen Global	Finance	Closed-End Fund - Foreign	0	0.662	9.53	0	0.84	0	0	0
FCOM	Fidelity Telecommunication MSCI ETF			0	0	0	0	0	0	0	0
FCOR	Fidelity Corporate Bond ETF			0	0	0	0	0	0	0	0
FDD	Stoxx Euro Select Div First Trust			0	0	0	0	0	0	0	0
FDIS	Fidelity Consumer Disc MSCI ETF			0	0	0	0	0	0	0	0
FDL	Mstar Dividend Leaders			0	0	0	0	0	0	0	0
FDLO	Fidelity Low Volatility Factor ETF			0	0	0	0	0	0	0	0
FDM	DJ Select Microcap First Trust			0	0	0	0	0	0	0	0
FDMO	Fidelity Momentum Factor ETF			0	0	0	0	0	0	0	0
