RESULT_COUNT: 7694,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME,ADJ_FACTOR
AFL,AFL:UN,BBG000BBBRC7,2018-09-04,46.09,46.58,45.8,46.57,2545717.0,0.0,1.0,46.09,46.58,45.8,46.57,2545717.0,1.0
AFMD,AFMD:UW,BBG006R5SSH5,2018-09-04,5.3,5.85,5.2,5.6,2961876.0,0.0,1.0,5.3,5.85,5.2,5.6,2961876.0,1
AFSI,AFSI:UW,BBG000QBYFX9,2018-09-04,14.54,14.67,14.52,14.635,490961.0,0.0,1.0,14.54,14.67,14.52,14.635,490961.0,1
AFT,AFT:UN,BBG00174L043,2018-09-04,15.97,16.03,15.96,15.99,92186.0,0.0,1.0,15.97,16.03,15.96,15.99,92186.0,1
AFTY,AFTY:UP,BBG0087HJJ69,2018-09-04,14.725,14.77,14.7173,14.73,2170.0,0.0,1.0,14.725,14.77,14.7173,14.73,2170.0,1
AG,AG:UN,BBG000CH7YK4,2018-09-04,5.41,5.41,5.13,5.31,3551137.0,0.0,1.0,5.41,5.41,5.13,5.31,3551137.0,1
AGCO,AGCO:UN,BBG000DCD2J9,2018-09-04,59.57,59.7,58.26,59.1,589069.0,0.0,1.0,59.57,59.7,58.26,59.1,589069.0,1
AGD,AGD:UN,BBG000PMSNV8,2018-09-04,10.51,10.51,10.42,10.42,22671.0,0.0,1.0,10.51,10.51,10.42,10.42,22671.0,1
AGEN,AGEN:UW,BBG000C8V450,2018-09-04,2.25,2.27,2.13,2.2,1235961.0,0.0,1.0,2.25,2.27,2.13,2.2,1235961.0,1
AGF,AGF:UP,BBG000VGZ4C9,2018-09-04,9.99,9.99,9.785,9.785,0.0,0.0,1.0,9.99,9.99,9.785,9.785,0.0,1
AGG,AGG:UP,BBG000Q126X6,2018-09-04,106.02,106.12,105.975,106.06,3075520.0,0.0,1.0,106.02,106.12,105.975,106.06,3075520.0,1
AGGY,AGGY:UP,BBG009KCY2K7,2018-09-04,48.61,48.61,48.53,48.582,53072.0,0.0,1.0,48.61,48.61,48.53,48.582,53072.0,1
AGI,AGI:UN,BBG009HT6BR8,2018-09-04,4.3,4.34,4.1,4.23,1843002.0,0.0,1.0,4.3,4.34,4.1,4.23,1843002.0,1
AGIO,AGIO:UW,BBG004P6MJ59,2018-09-04,80.05,81.38,78.5255,81.14,220165.0,0.0,1.0,80.05,81.38,78.5255,81.14,220165.0,1
AGM,AGM:UN,BBG000G8ZNL2,2018-09-04,76.88,77.779,76.33,77.15,51235.0,0.0,1.0,76.88,77.779,76.33,77.15,51235.0,1
AGM.A,AGM.A:UN,BBG000G8Y4G1,2018-09-04,73.42,73.42,73.42,73.42,122.0,0.0,1.0,73.42,73.42,73.42,73.42,122.0,1
AGN,AGN:UN,BBG000FH9TR3,2018-09-04,191.79,192.43,189.86,190.11,1822836.0,0.0,1.0,191.79,192.43,189.86,190.11,1822836.0,1
AGNC,AGNC:UW,BBG000TJ93C7,2018-09-04,19.0,19.13,19.0,19.04,2968084.0,0.0,1.0,19.0,19.13,19.0,19.04,2968084.0,1
AGNCB,AGNCB:UW,BBG006FZZTS0,2018-09-04,25.9,25.9499,25.87,25.9,23995.0,0.0,1.0,25.9,25.9499,25.87,25.9,23995.0,1
AGND,AGND:UW,BBG005Q267B1,2018-09-04,43.4,43.41,43.4,43.4,18862.0,0.0,1.0,43.4,43.41,43.4,43.4,18862.0,1
AGO,AGO:UN,BBG000CQB3G2,2018-09-04,40.76,41.08,40.49,40.61,593754.0,0.0,1.0,40.76,41.08,40.49,40.61,593754.0,1
AGQ,AGQ:UP,BBG000F7KT29,2018-09-04,22.39,22.69,22.1762,22.65,253547.0,0.0,1.0,22.39,22.69,22.1762,22.65,253547.0,1
AGRO,AGRO:UN,BBG001F4VY30,2018-09-04,7.89,7.92,7.42,7.58,1659439.0,0.0,1.0,7.89,7.92,7.42,7.58,1659439.0,1
AGRX,AGRX:UW,BBG00660K1Z6,2018-09-04,0.3,0.3,0.2694,0.27,331314.0,0.0,1.0,0.3,0.3,0.2694,0.27,331314.0,1
AGTC,AGTC:UW,BBG005TVPD20,2018-09-04,4.4,4.5,4.3,4.45,104987.0,0.0,1.0,4.4,4.5,4.3,4.45,104987.0,1
AGX,AGX:UN,BBG000K4J4B7,2018-09-04,39.8,39.8,38.55,38.8,151006.0,0.0,1.0,39.8,39.8,38.55,38.8,151006.0,1
AGYS,AGYS:UW,BBG000BR7GZ6,2018-09-04,15.98,15.98,15.04,15.42,107639.0,0.0,1.0,15.98,15.98,15.04,15.42,107639.0,1
AGZ,AGZ:UP,BBG000G03XL2,2018-09-04,111.0628,111.1,110.9745,111.08,5678.0,0.0,1.0,111.0628,111.1,110.9745,111.08,5678.0,1
AGZD,AGZD:UW,BBG005Q26BC1,2018-09-04,47.86,48.04,47.86,48.04,5348.0,0.0,1.0,47.86,48.04,47.86,48.04,5348.0,1
AHC,AHC:UN,BBG000TGPMF0,2018-09-04,4.4,4.6,4.4,4.6,21143.0,0.0,1.0,4.4,4.6,4.4,4.6,21143.0,1
AHH,AHH:UN,BBG004CYX1S4,2018-09-04,15.59,15.63,15.31,15.37,170110.0,0.0,1.0,15.59,15.63,15.31,15.37,170110.0,1
