RESULT_COUNT: 596,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME,ADJ_FACTOR
BOTI-L,BOTI-L:IT,BBG000FLSRF0,2018-09-04,3.741,,,3.741,0.0,0.0,1.0,3.741,,,3.741,0.0,1.0
GSFI,GSFI:IT,BBG000G25SB8,2018-09-04,35.95,36.58,36.2,36.36,4317.0,0.0,1.0,35.95,36.58,36.2,36.36,4317.0,1.0
BRND,BRND:IT,BBG000FLSVC4,2018-09-04,5.26,,,5.26,0.0,0.0,1.0,5.26,,,5.26,0.0,1.0
ROTS,ROTS:IT,BBG000N5SM67,2018-09-04,17.26,16.45,15.0,15.86,2108.0,0.0,1.0,17.26,16.45,15.0,15.86,2108.0,1.0
KNFM,KNFM:IT,BBG000G262Z8,2018-09-04,13.55,13.35,12.67,13.02,3092.0,0.0,1.0,13.55,13.35,12.67,13.02,3092.0,1.0
MYDS,MYDS:IT,BBG000G25ZY7,2018-09-04,0.6829999999999999,,,0.6829999999999999,0.0,0.0,1.0,0.6829999999999999,,,0.6829999999999999,0.0,1.0
STG,STG:IT,BBG000FN3KY7,2018-09-04,8.662,,,8.662,0.0,0.0,1.0,8.662,,,8.662,0.0,1.0
DLEN,DLEN:IT,BBG000FMV072,2018-09-04,1348.0,1362.0,1348.0,1359.0,1748.0,0.0,1.0,1348.0,1362.0,1348.0,1359.0,1748.0,1.0
MMHD,MMHD:IT,BBG000G28FC2,2018-09-04,42.8,43.5,42.62,43.18,42428.0,0.0,1.0,42.8,43.5,42.62,43.18,42428.0,1.0
LEVI,LEVI:IT,BBG000G28J43,2018-09-04,133.5,134.1,127.6,130.6,887.0,0.0,1.0,133.5,134.1,127.6,130.6,887.0,1.0
ILCO,ILCO:IT,BBG000BV48T5,2018-09-04,1088.0,1090.0,1039.0,1055.0,13591.0,0.0,1.0,1088.0,1090.0,1039.0,1055.0,13591.0,1.0
AFHL,AFHL:IT,BBG000G28MR1,2018-09-04,153.3,156.5,150.0,153.0,3123.0,0.0,1.0,153.3,156.5,150.0,153.0,3123.0,1.0
JOEL,JOEL:IT,BBG000FK3GH1,2018-09-04,203.3,206.6,203.1,205.0,57412.0,0.0,1.0,203.3,206.6,203.1,205.0,57412.0,1.0
LBTL,LBTL:IT,BBG000JM1PM9,2018-09-04,9.514,9.513,9.513,9.513,654.0,0.0,1.0,9.514,9.513,9.513,9.513,654.0,1.0
HARL,HARL:IT,BBG000G28QX5,2018-09-04,29.73,29.78,29.32,29.67,151739.0,0.0,1.0,29.73,29.78,29.32,29.67,151739.0,1.0
ARYT,ARYT:IT,BBG000DQ5WW6,2018-09-04,1.829,1.83,1.815,1.8230000000000002,105549.0,0.0,1.0,1.829,1.83,1.815,1.8230000000000002,105549.0,1.0
EMDV,EMDV:IT,BBG000MHQG85,2018-09-04,26.5,26.5,26.5,26.5,144.0,0.0,1.0,26.5,26.5,26.5,26.5,144.0,1.0
FTIN,FTIN:IT,BBG000BK0KV3,2018-09-04,84.85,84.98,82.68,82.68,167840.0,0.0,1.0,84.85,84.98,82.68,82.68,167840.0,1.0
PLTF,PLTF:IT,BBG000JVMBJ1,2018-09-04,0.319,0.31,0.302,0.305,100000.0,0.0,1.0,0.319,0.31,0.302,0.305,100000.0,1.0
LUMI,LUMI:IT,BBG000BXB0V7,2018-09-04,23.86,23.86,23.49,23.72,4437746.0,0.0,1.0,23.86,23.86,23.49,23.72,4437746.0,1.0
AFIL,AFIL:IT,BBG000BK0LF9,2018-09-04,0.23600000000000002,0.24,0.21,0.213,6525201.0,0.0,1.0,0.23600000000000002,0.24,0.21,0.213,6525201.0,1.0
ILDC,ILDC:IT,BBG000FK28P1,2018-09-04,35.95,35.95,34.03,34.8,3805.0,0.0,1.0,35.95,35.95,34.03,34.8,3805.0,1.0
ISRS,ISRS:IT,BBG000LBQMC1,2018-09-04,418.3,420.0,416.4,418.1,893.0,0.0,1.0,418.3,420.0,416.4,418.1,893.0,1.0
KRUR,KRUR:IT,BBG000BBM436,2018-09-04,99.4,100.2,99.0,99.78,3742.0,0.0,1.0,99.4,100.2,99.0,99.78,3742.0,1.0
ALBA,ALBA:IT,BBG000BF62Z4,2018-09-04,43.55,44.88,43.2,43.56,5691.0,0.0,1.0,43.55,44.88,43.2,43.56,5691.0,1.0
DELT,DELT:IT,BBG000BJWBF9,2018-09-04,109.4,110.2,107.7,108.4,145832.0,0.0,1.0,109.4,110.2,107.7,108.4,145832.0,1.0
TEVA,TEVA:IT,BBG000HVWNL3,2018-09-04,83.87,83.9,81.07,82.32,599246.0,0.0,1.0,83.87,83.9,81.07,82.32,599246.0,1.0
SMNIN,SMNIN:IT,BBG000G2CV50,2018-09-04,6.3260000000000005,6.263,6.263,6.322,22.0,0.0,1.0,6.3260000000000005,6.263,6.263,6.322,22.0,1.0
DISI,DISI:IT,BBG000BJGKG6,2018-09-04,10.85,10.86,10.72,10.8,89287.0,0.0,1.0,10.85,10.86,10.72,10.8,89287.0,1.0
ABTR-M,ABTR-M:IT,BBG000PHLXH0,2018-09-04,0.319,,,0.319,0.0,0.0,1.0,0.319,,,0.319,0.0,1.0
LAPD,LAPD:IT,BBG000G2F171,2018-09-04,16.7,16.02,15.79,16.0,3979.0,0.0,1.0,16.7,16.02,15.79,16.0,3979.0,1.0
NFTA,NFTA:IT,BBG000FK6G24,2018-09-04,23.43,23.99,23.18,23.28,127107.0,0.0,1.0,23.43,23.99,23.18,23.28,127107.0,1.0
PLRM,PLRM:IT,BBG000BBBCF7,2018-09-04,22.9,23.1,22.78,22.91,4411.0,0.0,1.0,22.9,23.1,22.78,22.91,4411.0,1.0
AMAN,AMAN:IT,BBG000BW0F11,2018-09-04,21.39,21.38,21.38,21.38,140.0,0.0,1.0,21.39,21.38,21.38,21.38,140.0,1.0
NISA,NISA:IT,BBG000G2G8K0,2018-09-04,30.74,30.7,29.47,30.51,1206.0,0.0,1.0,30.74,30.7,29.47,30.51,1206.0,1.0
POLI,POLI:IT,BBG000F23M06,2018-09-04,26.4,26.66,26.22,26.27,2505691.0,0.0,1.0,26.4,26.66,26.22,26.27,2505691.0,1.0
TEFN,TEFN:IT,BBG000G2GHF6,2018-09-04,6.26,6.428,6.21,6.261,50320.0,0.0,1.0,6.26,6.428,6.21,6.261,50320.0,1.0
AVER,AVER:IT,BBG000FLKQZ8,2018-09-04,17.64,17.03,16.89,17.01,257.0,0.0,1.0,17.64,17.03,16.89,17.01,257.0,1.0
MEDN,MEDN:IT,BBG000FK3PF3,2018-09-04,175.8,174.8,174.8,175.6,2.0,0.0,1.0,175.8,174.8,174.8,175.6,2.0,1.0
